Timestamp,Object Name,Distance
0.022,RoofZone_UltrasonicNode5_UltrasonicSensor,200
0.073,RoofZone_UltrasonicNode5_UltrasonicSensor,15
0.120,RoofZone_UltrasonicNode5_UltrasonicSensor,10
0.192,RoofZone_UltrasonicNode5_UltrasonicSensor,59
0.236,RoofZone_UltrasonicNode5_UltrasonicSensor,120
0.292,RoofZone_UltrasonicNode5_UltrasonicSensor,70
0.340,RoofZone_UltrasonicNode5_UltrasonicSensor,180
0.392,RoofZone_UltrasonicNode5_UltrasonicSensor,90
0.434,RoofZone_UltrasonicNode5_UltrasonicSensor,100
0.479,RoofZone_UltrasonicNode5_UltrasonicSensor,130
0.525,RoofZone_UltrasonicNode5_UltrasonicSensor,140
0.598,RoofZone_UltrasonicNode5_UltrasonicSensor,250
0.651,RoofZone_UltrasonicNode5_UltrasonicSensor,150
0.712,RoofZone_UltrasonicNode5_UltrasonicSensor,60
0.752,RoofZone_UltrasonicNode5_UltrasonicSensor,250
0.796,RoofZone_UltrasonicNode5_UltrasonicSensor,200
0.838,RoofZone_UltrasonicNode5_UltrasonicSensor,15
0.884,RoofZone_UltrasonicNode5_UltrasonicSensor,10
0.935,RoofZone_UltrasonicNode5_UltrasonicSensor,59
0.976,RoofZone_UltrasonicNode5_UltrasonicSensor,120
1.021,RoofZone_UltrasonicNode5_UltrasonicSensor,70
1.086,RoofZone_UltrasonicNode5_UltrasonicSensor,180
1.131,RoofZone_UltrasonicNode5_UltrasonicSensor,90
1.182,RoofZone_UltrasonicNode5_UltrasonicSensor,100
1.225,RoofZone_UltrasonicNode5_UltrasonicSensor,130
1.274,RoofZone_UltrasonicNode5_UltrasonicSensor,140
1.323,RoofZone_UltrasonicNode5_UltrasonicSensor,250
1.381,RoofZone_UltrasonicNode5_UltrasonicSensor,150
1.429,RoofZone_UltrasonicNode5_UltrasonicSensor,60
1.471,RoofZone_UltrasonicNode5_UltrasonicSensor,250
1.529,RoofZone_UltrasonicNode5_UltrasonicSensor,200
1.585,RoofZone_UltrasonicNode5_UltrasonicSensor,15
1.636,RoofZone_UltrasonicNode5_UltrasonicSensor,10
1.679,RoofZone_UltrasonicNode5_UltrasonicSensor,59
1.729,RoofZone_UltrasonicNode5_UltrasonicSensor,120
1.787,RoofZone_UltrasonicNode5_UltrasonicSensor,70
1.833,RoofZone_UltrasonicNode5_UltrasonicSensor,180
1.880,RoofZone_UltrasonicNode5_UltrasonicSensor,90
1.932,RoofZone_UltrasonicNode5_UltrasonicSensor,100
1.975,RoofZone_UltrasonicNode5_UltrasonicSensor,130
2.027,RoofZone_UltrasonicNode5_UltrasonicSensor,140
2.070,RoofZone_UltrasonicNode5_UltrasonicSensor,250
2.112,RoofZone_UltrasonicNode5_UltrasonicSensor,150
2.164,RoofZone_UltrasonicNode5_UltrasonicSensor,60
2.226,RoofZone_UltrasonicNode5_UltrasonicSensor,250
2.288,RoofZone_UltrasonicNode5_UltrasonicSensor,200
2.351,RoofZone_UltrasonicNode5_UltrasonicSensor,15
2.413,RoofZone_UltrasonicNode5_UltrasonicSensor,10
2.464,RoofZone_UltrasonicNode5_UltrasonicSensor,59
2.505,RoofZone_UltrasonicNode5_UltrasonicSensor,120
2.571,RoofZone_UltrasonicNode5_UltrasonicSensor,70
2.632,RoofZone_UltrasonicNode5_UltrasonicSensor,180
2.684,RoofZone_UltrasonicNode5_UltrasonicSensor,90
2.726,RoofZone_UltrasonicNode5_UltrasonicSensor,100
2.774,RoofZone_UltrasonicNode5_UltrasonicSensor,130
2.836,RoofZone_UltrasonicNode5_UltrasonicSensor,140
2.896,RoofZone_UltrasonicNode5_UltrasonicSensor,250
2.938,RoofZone_UltrasonicNode5_UltrasonicSensor,150
2.996,RoofZone_UltrasonicNode5_UltrasonicSensor,60
3.038,RoofZone_UltrasonicNode5_UltrasonicSensor,250
3.089,RoofZone_UltrasonicNode5_UltrasonicSensor,200
3.130,RoofZone_UltrasonicNode5_UltrasonicSensor,15
3.192,RoofZone_UltrasonicNode5_UltrasonicSensor,10
3.256,RoofZone_UltrasonicNode5_UltrasonicSensor,59
3.318,RoofZone_UltrasonicNode5_UltrasonicSensor,120
3.382,RoofZone_UltrasonicNode5_UltrasonicSensor,70
3.434,RoofZone_UltrasonicNode5_UltrasonicSensor,180
3.492,RoofZone_UltrasonicNode5_UltrasonicSensor,90
3.533,RoofZone_UltrasonicNode5_UltrasonicSensor,100
3.586,RoofZone_UltrasonicNode5_UltrasonicSensor,130
3.638,RoofZone_UltrasonicNode5_UltrasonicSensor,140
3.695,RoofZone_UltrasonicNode5_UltrasonicSensor,250
3.758,RoofZone_UltrasonicNode5_UltrasonicSensor,150
3.802,RoofZone_UltrasonicNode5_UltrasonicSensor,60
3.853,RoofZone_UltrasonicNode5_UltrasonicSensor,250
3.896,RoofZone_UltrasonicNode5_UltrasonicSensor,200
3.947,RoofZone_UltrasonicNode5_UltrasonicSensor,15
3.993,RoofZone_UltrasonicNode5_UltrasonicSensor,10
4.035,RoofZone_UltrasonicNode5_UltrasonicSensor,59
4.078,RoofZone_UltrasonicNode5_UltrasonicSensor,120
4.122,RoofZone_UltrasonicNode5_UltrasonicSensor,70
4.165,RoofZone_UltrasonicNode5_UltrasonicSensor,180
4.214,RoofZone_UltrasonicNode5_UltrasonicSensor,90
4.256,RoofZone_UltrasonicNode5_UltrasonicSensor,100
4.300,RoofZone_UltrasonicNode5_UltrasonicSensor,130
4.341,RoofZone_UltrasonicNode5_UltrasonicSensor,140
4.405,RoofZone_UltrasonicNode5_UltrasonicSensor,250
4.461,RoofZone_UltrasonicNode5_UltrasonicSensor,150
4.511,RoofZone_UltrasonicNode5_UltrasonicSensor,60
4.555,RoofZone_UltrasonicNode5_UltrasonicSensor,250
4.606,RoofZone_UltrasonicNode5_UltrasonicSensor,200
4.663,RoofZone_UltrasonicNode5_UltrasonicSensor,15
4.705,RoofZone_UltrasonicNode5_UltrasonicSensor,10
4.749,RoofZone_UltrasonicNode5_UltrasonicSensor,59
4.819,RoofZone_UltrasonicNode5_UltrasonicSensor,120
4.862,RoofZone_UltrasonicNode5_UltrasonicSensor,70
4.916,RoofZone_UltrasonicNode5_UltrasonicSensor,180
4.958,RoofZone_UltrasonicNode5_UltrasonicSensor,90
5.022,RoofZone_UltrasonicNode5_UltrasonicSensor,100
5.064,RoofZone_UltrasonicNode5_UltrasonicSensor,130
5.105,RoofZone_UltrasonicNode5_UltrasonicSensor,140
5.162,RoofZone_UltrasonicNode5_UltrasonicSensor,250
5.212,RoofZone_UltrasonicNode5_UltrasonicSensor,150
5.268,RoofZone_UltrasonicNode5_UltrasonicSensor,60
5.313,RoofZone_UltrasonicNode5_UltrasonicSensor,250
5.384,RoofZone_UltrasonicNode5_UltrasonicSensor,200
5.454,RoofZone_UltrasonicNode5_UltrasonicSensor,15
5.502,RoofZone_UltrasonicNode5_UltrasonicSensor,10
5.545,RoofZone_UltrasonicNode5_UltrasonicSensor,59
5.596,RoofZone_UltrasonicNode5_UltrasonicSensor,120
5.643,RoofZone_UltrasonicNode5_UltrasonicSensor,70
5.684,RoofZone_UltrasonicNode5_UltrasonicSensor,180
5.736,RoofZone_UltrasonicNode5_UltrasonicSensor,90
5.779,RoofZone_UltrasonicNode5_UltrasonicSensor,100
5.846,RoofZone_UltrasonicNode5_UltrasonicSensor,130
5.908,RoofZone_UltrasonicNode5_UltrasonicSensor,140
5.951,RoofZone_UltrasonicNode5_UltrasonicSensor,250
6.016,RoofZone_UltrasonicNode5_UltrasonicSensor,150
6.057,RoofZone_UltrasonicNode5_UltrasonicSensor,60
6.113,RoofZone_UltrasonicNode5_UltrasonicSensor,250
6.173,RoofZone_UltrasonicNode5_UltrasonicSensor,200
6.218,RoofZone_UltrasonicNode5_UltrasonicSensor,15
6.281,RoofZone_UltrasonicNode5_UltrasonicSensor,10
6.323,RoofZone_UltrasonicNode5_UltrasonicSensor,59
6.390,RoofZone_UltrasonicNode5_UltrasonicSensor,120
6.434,RoofZone_UltrasonicNode5_UltrasonicSensor,70
6.477,RoofZone_UltrasonicNode5_UltrasonicSensor,180
6.530,RoofZone_UltrasonicNode5_UltrasonicSensor,90
6.573,RoofZone_UltrasonicNode5_UltrasonicSensor,100
6.614,RoofZone_UltrasonicNode5_UltrasonicSensor,130
6.671,RoofZone_UltrasonicNode5_UltrasonicSensor,140
6.717,RoofZone_UltrasonicNode5_UltrasonicSensor,250
6.781,RoofZone_UltrasonicNode5_UltrasonicSensor,150
6.828,RoofZone_UltrasonicNode5_UltrasonicSensor,60
6.882,RoofZone_UltrasonicNode5_UltrasonicSensor,250
6.925,RoofZone_UltrasonicNode5_UltrasonicSensor,200
6.967,RoofZone_UltrasonicNode5_UltrasonicSensor,15
7.031,RoofZone_UltrasonicNode5_UltrasonicSensor,10
7.074,RoofZone_UltrasonicNode5_UltrasonicSensor,59
7.117,RoofZone_UltrasonicNode5_UltrasonicSensor,120
