Timestamp,Object Name,Wind Speed
2024-11-20T02:54:44.817059300,Zone1_WindNode_WindSensor,100
2024-11-20T02:54:45.352893900,Zone1_WindNode_WindSensor,200
2024-11-20T02:54:45.914613700,Zone1_WindNode_WindSensor,300
2024-11-20T02:54:46.425954400,Zone1_WindNode_WindSensor,0
2024-11-20T02:54:46.939030600,Zone1_WindNode_WindSensor,100
2024-11-20T02:54:47.456783300,Zone1_WindNode_WindSensor,0
2024-11-20T02:54:47.968547600,Zone1_WindNode_WindSensor,300
2024-11-20T02:54:48.482709500,Zone1_WindNode_WindSensor,50
2024-11-20T02:54:48.996785900,Zone1_WindNode_WindSensor,20
2024-11-20T02:54:49.513071300,Zone1_WindNode_WindSensor,10
2024-11-20T02:54:50.027087100,Zone1_WindNode_WindSensor,21
2024-11-20T02:54:50.543605,Zone1_WindNode_WindSensor,14
2024-11-20T02:54:51.056208600,Zone1_WindNode_WindSensor,100
2024-11-20T02:54:51.571432200,Zone1_WindNode_WindSensor,200
2024-11-20T02:54:52.083405100,Zone1_WindNode_WindSensor,300
2024-11-20T02:54:52.596540300,Zone1_WindNode_WindSensor,0
2024-11-20T02:54:53.111766500,Zone1_WindNode_WindSensor,100
2024-11-20T02:54:53.625769700,Zone1_WindNode_WindSensor,0
2024-11-20T02:54:54.137437200,Zone1_WindNode_WindSensor,300
2024-11-20T02:54:54.650761700,Zone1_WindNode_WindSensor,50
2024-11-20T02:54:55.164655500,Zone1_WindNode_WindSensor,20
2024-11-20T02:54:55.681510600,Zone1_WindNode_WindSensor,10
2024-11-20T02:54:56.196426500,Zone1_WindNode_WindSensor,21
2024-11-20T02:54:56.709788500,Zone1_WindNode_WindSensor,14
2024-11-20T02:54:57.223864200,Zone1_WindNode_WindSensor,100
2024-11-20T02:54:57.738736900,Zone1_WindNode_WindSensor,200
2024-11-20T02:54:58.251956300,Zone1_WindNode_WindSensor,300
2024-11-20T02:54:58.768522800,Zone1_WindNode_WindSensor,0
2024-11-20T02:54:59.284766,Zone1_WindNode_WindSensor,100
2024-11-20T02:54:59.799214200,Zone1_WindNode_WindSensor,0
2024-11-20T02:55:00.314071500,Zone1_WindNode_WindSensor,300
2024-11-20T02:55:00.825228100,Zone1_WindNode_WindSensor,50
2024-11-20T02:55:01.338384200,Zone1_WindNode_WindSensor,20
2024-11-20T02:55:01.841692300,Zone1_WindNode_WindSensor,10
2024-11-20T02:55:02.343616200,Zone1_WindNode_WindSensor,21
2024-11-20T02:55:02.856339300,Zone1_WindNode_WindSensor,14
2024-11-20T02:55:03.368729700,Zone1_WindNode_WindSensor,100
2024-11-20T02:55:03.884100900,Zone1_WindNode_WindSensor,200
2024-11-20T02:55:04.399227600,Zone1_WindNode_WindSensor,300
2024-11-20T02:55:04.913846200,Zone1_WindNode_WindSensor,0
2024-11-20T02:55:05.416966700,Zone1_WindNode_WindSensor,100
2024-11-20T02:55:05.930726300,Zone1_WindNode_WindSensor,0
2024-11-20T02:55:06.445930300,Zone1_WindNode_WindSensor,300
2024-11-20T02:55:06.962103400,Zone1_WindNode_WindSensor,50
2024-11-20T02:55:07.462649200,Zone1_WindNode_WindSensor,20
2024-11-20T02:55:07.975779100,Zone1_WindNode_WindSensor,10
2024-11-20T02:55:08.477172200,Zone1_WindNode_WindSensor,21
2024-11-20T02:55:08.991194700,Zone1_WindNode_WindSensor,14
2024-11-20T02:55:09.504420400,Zone1_WindNode_WindSensor,100
2024-11-20T02:55:10.020873800,Zone1_WindNode_WindSensor,200
2024-11-20T02:55:10.532940800,Zone1_WindNode_WindSensor,300
2024-11-20T02:55:11.077866900,Zone1_WindNode_WindSensor,0
2024-11-20T02:55:11.595315200,Zone1_WindNode_WindSensor,100
2024-11-20T02:55:12.107457900,Zone1_WindNode_WindSensor,0
2024-11-20T02:55:12.621416200,Zone1_WindNode_WindSensor,300
2024-11-20T02:55:13.136939500,Zone1_WindNode_WindSensor,50
2024-11-20T02:55:13.638861100,Zone1_WindNode_WindSensor,20
