Timestamp,Object Name,Distance
2024-11-20T01:46:28.675706700,Zone1_UltrasonicNode2_UltrasonicSensor,200
2024-11-20T01:46:29.874585600,Zone1_UltrasonicNode2_UltrasonicSensor,15
2024-11-20T01:46:30.887304800,Zone1_UltrasonicNode2_UltrasonicSensor,10
2024-11-20T01:46:31.903791400,Zone1_UltrasonicNode2_UltrasonicSensor,59
2024-11-20T01:46:32.919258600,Zone1_UltrasonicNode2_UltrasonicSensor,120
2024-11-20T01:46:33.935248800,Zone1_UltrasonicNode2_UltrasonicSensor,70
2024-11-20T01:46:34.939156100,Zone1_UltrasonicNode2_UltrasonicSensor,180
2024-11-20T01:46:35.954072800,Zone1_UltrasonicNode2_UltrasonicSensor,90
2024-11-20T01:46:36.958420900,Zone1_UltrasonicNode2_UltrasonicSensor,100
2024-11-20T01:46:37.960706700,Zone1_UltrasonicNode2_UltrasonicSensor,130
2024-11-20T01:46:38.976454300,Zone1_UltrasonicNode2_UltrasonicSensor,140
2024-11-20T01:46:39.988836400,Zone1_UltrasonicNode2_UltrasonicSensor,250
2024-11-20T01:46:41.004973900,Zone1_UltrasonicNode2_UltrasonicSensor,150
2024-11-20T01:46:42.018213500,Zone1_UltrasonicNode2_UltrasonicSensor,60
2024-11-20T01:46:43.029821400,Zone1_UltrasonicNode2_UltrasonicSensor,250
2024-11-20T01:46:44.043554100,Zone1_UltrasonicNode2_UltrasonicSensor,200
2024-11-20T01:46:45.057418500,Zone1_UltrasonicNode2_UltrasonicSensor,15
2024-11-20T01:46:46.061807,Zone1_UltrasonicNode2_UltrasonicSensor,10
2024-11-20T01:46:47.067893700,Zone1_UltrasonicNode2_UltrasonicSensor,59
2024-11-20T01:46:48.078027200,Zone1_UltrasonicNode2_UltrasonicSensor,120
2024-11-20T01:46:49.089113800,Zone1_UltrasonicNode2_UltrasonicSensor,70
2024-11-20T01:46:50.102216,Zone1_UltrasonicNode2_UltrasonicSensor,180
2024-11-20T01:46:51.116689100,Zone1_UltrasonicNode2_UltrasonicSensor,90
2024-11-20T01:46:52.119661700,Zone1_UltrasonicNode2_UltrasonicSensor,100
2024-11-20T01:46:53.132644900,Zone1_UltrasonicNode2_UltrasonicSensor,130
2024-11-20T01:46:54.148030600,Zone1_UltrasonicNode2_UltrasonicSensor,140
2024-11-20T01:46:55.148299500,Zone1_UltrasonicNode2_UltrasonicSensor,250
2024-11-20T01:46:56.163140700,Zone1_UltrasonicNode2_UltrasonicSensor,150
2024-11-20T01:46:57.166960,Zone1_UltrasonicNode2_UltrasonicSensor,60
2024-11-20T01:46:58.179603300,Zone1_UltrasonicNode2_UltrasonicSensor,250
2024-11-20T01:46:59.183232700,Zone1_UltrasonicNode2_UltrasonicSensor,200
2024-11-20T01:47:00.190627300,Zone1_UltrasonicNode2_UltrasonicSensor,15
2024-11-20T01:47:01.205262100,Zone1_UltrasonicNode2_UltrasonicSensor,10
2024-11-20T01:47:02.219926700,Zone1_UltrasonicNode2_UltrasonicSensor,59
2024-11-20T01:47:03.231666600,Zone1_UltrasonicNode2_UltrasonicSensor,120
2024-11-20T01:47:04.233292600,Zone1_UltrasonicNode2_UltrasonicSensor,70
2024-11-20T01:47:05.242813100,Zone1_UltrasonicNode2_UltrasonicSensor,180
2024-11-20T01:47:06.253903300,Zone1_UltrasonicNode2_UltrasonicSensor,90
2024-11-20T01:47:07.268730,Zone1_UltrasonicNode2_UltrasonicSensor,100
2024-11-20T01:47:08.273423500,Zone1_UltrasonicNode2_UltrasonicSensor,130
2024-11-20T01:47:09.303028,Zone1_UltrasonicNode2_UltrasonicSensor,140
2024-11-20T01:47:10.317339100,Zone1_UltrasonicNode2_UltrasonicSensor,250
2024-11-20T01:47:11.320661500,Zone1_UltrasonicNode2_UltrasonicSensor,150
2024-11-20T01:47:12.328883600,Zone1_UltrasonicNode2_UltrasonicSensor,60
2024-11-20T01:47:13.345697200,Zone1_UltrasonicNode2_UltrasonicSensor,250
2024-11-20T01:47:14.361309500,Zone1_UltrasonicNode2_UltrasonicSensor,200
2024-11-20T01:47:15.366481900,Zone1_UltrasonicNode2_UltrasonicSensor,15
2024-11-20T01:47:16.382511400,Zone1_UltrasonicNode2_UltrasonicSensor,10
