Timestamp,Object Name,Event,Zone1_ActuatorNode_actuator_Connected Device 3,Zone1_ActuatorNode_actuator_Connected Device 2,Zone1_WindNode_WindSensor_Wind Speed,Zone1_SpeakerNode_speaker_Played Message,Zone1_ActuatorNode_actuator_Connected Device 1,Zone1_ActuatorNode_actuator_Connected Device 0,Zone1_GateNode_scanner_ID,Zone1_GateNode_relay_Connected Device 0,Zone1_UltrasonicNode1_UltrasonicSensor_Distance,Zone1_UltrasonicNode3_UltrasonicSensor_Distance,Zone1_UltrasonicNode5_UltrasonicSensor_Distance,Zone1_SmartRopeNode2_SmartRope_Is Attached,Zone1_ActuatorNode_actuator_Switch 0 Status,Zone1_ActuatorNode_actuator_Switch 1 Status,Zone1_ActuatorNode_actuator_Switch 2 Status,Zone1_ActuatorNode_actuator_Switch 3 Status,Zone1_BuzzerNode_actuator_Connected Device 0,Zone1_UltrasonicNode2_UltrasonicSensor_Distance,Zone1_UltrasonicNode4_UltrasonicSensor_Distance,Zone1_SmartRopeNode3_SmartRope_Is Attached,Zone1_GateNode_relay_Switch 0 Status,Zone1_SmartRopeNode1_SmartRope_Is Attached,Zone1_BuzzerNode_actuator_Switch 0 Status
2024-11-20T02:54:44.923188200,Zone1_ControlNode,Started,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized
2024-11-20T02:54:45.026371800,Zone1_ControlNode,Received (1) new packet from slave node [Zone1_WindNode],Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized
2024-11-20T02:54:45.041766100,Zone1_ControlNode,Received (1) new packet from slave node [Zone1_SmartRopeNode1],Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized
2024-11-20T02:54:45.038770800,Zone1_ControlNode,Received (1) new packet from slave node [Zone1_SmartRopeNode2],Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized
2024-11-20T02:54:45.026371800,Zone1_ControlNode,Received (1) new packet from slave node [Zone1_UltrasonicNode1],Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized
2024-11-20T02:54:45.026371800,Zone1_ControlNode,Received (1) new packet from slave node [Zone1_UltrasonicNode4],Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized
2024-11-20T02:54:45.026371800,Zone1_ControlNode,Received (1) new packet from slave node [Zone1_UltrasonicNode3],Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized
2024-11-20T02:54:45.026371800,Zone1_ControlNode,Received (1) new packet from slave node [Zone1_SmartRopeNode3],Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized
2024-11-20T02:54:45.026371800,Zone1_ControlNode,Received (1) new packet from slave node [Zone1_UltrasonicNode2],Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized
2024-11-20T02:54:45.026371800,Zone1_ControlNode,Received (1) new packet from slave node [Zone1_UltrasonicNode5],Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized,Uninitialized
