Timestamp,Object Name,Distance
2024-11-26T14:51:52.126535100,RoofZone_UltrasonicNode2_UltrasonicSensor,200
2024-11-26T14:51:52.720998100,RoofZone_UltrasonicNode2_UltrasonicSensor,15
2024-11-26T14:51:53.225922300,RoofZone_UltrasonicNode2_UltrasonicSensor,10
2024-11-26T14:51:53.732250500,RoofZone_UltrasonicNode2_UltrasonicSensor,59
2024-11-26T14:51:54.247699500,RoofZone_UltrasonicNode2_UltrasonicSensor,120
2024-11-26T14:51:54.756825200,RoofZone_UltrasonicNode2_UltrasonicSensor,70
2024-11-26T14:51:55.261552700,RoofZone_UltrasonicNode2_UltrasonicSensor,180
2024-11-26T14:51:55.767969200,RoofZone_UltrasonicNode2_UltrasonicSensor,90
2024-11-26T14:51:56.280928,RoofZone_UltrasonicNode2_UltrasonicSensor,100
2024-11-26T14:51:56.792454600,RoofZone_UltrasonicNode2_UltrasonicSensor,130
2024-11-26T14:51:57.303239500,RoofZone_UltrasonicNode2_UltrasonicSensor,140
2024-11-26T14:51:57.818882600,RoofZone_UltrasonicNode2_UltrasonicSensor,250
2024-11-26T14:51:58.331045500,RoofZone_UltrasonicNode2_UltrasonicSensor,150
2024-11-26T14:51:58.843868300,RoofZone_UltrasonicNode2_UltrasonicSensor,60
2024-11-26T14:51:59.355393400,RoofZone_UltrasonicNode2_UltrasonicSensor,250
2024-11-26T14:51:59.994429700,RoofZone_UltrasonicNode2_UltrasonicSensor,200
2024-11-26T14:52:00.507081900,RoofZone_UltrasonicNode2_UltrasonicSensor,15
2024-11-26T14:52:01.022645400,RoofZone_UltrasonicNode2_UltrasonicSensor,10
2024-11-26T14:52:01.537276500,RoofZone_UltrasonicNode2_UltrasonicSensor,59
2024-11-26T14:52:02.055489400,RoofZone_UltrasonicNode2_UltrasonicSensor,120
2024-11-26T14:52:02.561285800,RoofZone_UltrasonicNode2_UltrasonicSensor,70
2024-11-26T14:52:03.075229500,RoofZone_UltrasonicNode2_UltrasonicSensor,180
