Timestamp,Object Name,Is Attached
2024-11-22T20:31:42.273751,RoofZone_SmartRopeNode2_SmartRope,1
2024-11-22T20:31:42.812521300,RoofZone_SmartRopeNode2_SmartRope,1
2024-11-22T20:31:43.323446800,RoofZone_SmartRopeNode2_SmartRope,1
2024-11-22T20:31:43.834102900,RoofZone_SmartRopeNode2_SmartRope,0
2024-11-22T20:31:44.346984200,RoofZone_SmartRopeNode2_SmartRope,1
2024-11-22T20:31:44.859764,RoofZone_SmartRopeNode2_SmartRope,0
2024-11-22T20:31:45.369823100,RoofZone_SmartRopeNode2_SmartRope,1
2024-11-22T20:31:45.881907700,RoofZone_SmartRopeNode2_SmartRope,1
2024-11-22T20:31:46.391808200,RoofZone_SmartRopeNode2_SmartRope,0
2024-11-22T20:31:46.904505700,RoofZone_SmartRopeNode2_SmartRope,1
2024-11-22T20:31:47.417451800,RoofZone_SmartRopeNode2_SmartRope,1
2024-11-22T20:31:47.933628100,RoofZone_SmartRopeNode2_SmartRope,0
2024-11-22T20:31:48.441877700,RoofZone_SmartRopeNode2_SmartRope,1
2024-11-22T20:31:48.943650,RoofZone_SmartRopeNode2_SmartRope,1
2024-11-22T20:31:49.456084600,RoofZone_SmartRopeNode2_SmartRope,1
2024-11-22T20:31:49.968154,RoofZone_SmartRopeNode2_SmartRope,0
2024-11-22T20:31:50.482636300,RoofZone_SmartRopeNode2_SmartRope,1
2024-11-22T20:31:50.994711200,RoofZone_SmartRopeNode2_SmartRope,0
2024-11-22T20:31:51.508350100,RoofZone_SmartRopeNode2_SmartRope,1
2024-11-22T20:31:52.023652300,RoofZone_SmartRopeNode2_SmartRope,1
2024-11-22T20:31:52.537872200,RoofZone_SmartRopeNode2_SmartRope,0
2024-11-22T20:31:53.050391800,RoofZone_SmartRopeNode2_SmartRope,1
2024-11-22T20:31:53.550781400,RoofZone_SmartRopeNode2_SmartRope,1
2024-11-22T20:31:54.061509900,RoofZone_SmartRopeNode2_SmartRope,0
2024-11-22T20:31:54.570011,RoofZone_SmartRopeNode2_SmartRope,1
2024-11-22T20:31:55.082373,RoofZone_SmartRopeNode2_SmartRope,1
2024-11-22T20:31:55.596199900,RoofZone_SmartRopeNode2_SmartRope,1
2024-11-22T20:31:56.111359600,RoofZone_SmartRopeNode2_SmartRope,0
2024-11-22T20:31:56.619352900,RoofZone_SmartRopeNode2_SmartRope,1
2024-11-22T20:31:57.131278700,RoofZone_SmartRopeNode2_SmartRope,0
2024-11-22T20:31:57.800667600,RoofZone_SmartRopeNode2_SmartRope,1
2024-11-22T20:31:58.314218100,RoofZone_SmartRopeNode2_SmartRope,1
2024-11-22T20:31:58.829518400,RoofZone_SmartRopeNode2_SmartRope,0
2024-11-22T20:31:59.343142400,RoofZone_SmartRopeNode2_SmartRope,1
2024-11-22T20:31:59.853645,RoofZone_SmartRopeNode2_SmartRope,1
2024-11-22T20:32:00.364724,RoofZone_SmartRopeNode2_SmartRope,0
2024-11-22T20:32:00.865351900,RoofZone_SmartRopeNode2_SmartRope,1
