Timestamp,Object Name,Distance
2024-11-04T19:44:02.175541,Ultrasonic,10.0
2024-11-04T19:44:03.225253100,Ultrasonic,10.0
2024-11-04T19:44:04.234111500,Ultrasonic,10.0
2024-11-04T19:44:05.250096200,Ultrasonic,23.0
2024-11-04T19:44:06.259257700,Ultrasonic,22.0
2024-11-04T19:44:07.272273,Ultrasonic,10.0
2024-11-04T19:44:08.286471200,Ultrasonic,10.0
2024-11-04T19:44:09.299662300,Ultrasonic,10.0
2024-11-04T19:44:10.311354200,Ultrasonic,23.0
2024-11-04T19:44:11.319006300,Ultrasonic,22.0
2024-11-04T19:44:12.330961,Ultrasonic,10.0
2024-11-04T19:44:13.353736900,Ultrasonic,10.0
