Timestamp                     ,Object Name          ,Event                                                                                                                                                                     ,RoofZone_UltrasonicNode4_UltrasonicSensor_Distance ,RoofZone_UltrasonicNode2_UltrasonicSensor_Distance ,RoofZone_ActuatorNode_actuator_Connected Device 0 ,RoofZone_ActuatorNode_actuator_Connected Device 1 ,RoofZone_GateNode_relay_Switch 0 Status ,RoofZone_SmartRopeNode1_SmartRope_Is Attached ,RoofZone_SmartRopeNode3_SmartRope_Is Attached ,RoofZone_ActuatorNode_actuator_Switch 2 Status ,RoofZone_ActuatorNode_actuator_Switch 3 Status ,RoofZone_GateNode_scanner_ID ,RoofZone_UltrasonicNode5_UltrasonicSensor_Distance ,RoofZone_UltrasonicNode3_UltrasonicSensor_Distance ,RoofZone_UltrasonicNode1_UltrasonicSensor_Distance ,RoofZone_ActuatorNode_actuator_Switch 0 Status ,RoofZone_ActuatorNode_actuator_Switch 1 Status ,RoofZone_SpeakerNode_speaker_Played Message ,RoofZone_GateNode_relay_Connected Device 0 ,RoofZone_BuzzerNode_actuator_Connected Device 0 ,RoofZone_ActuatorNode_actuator_Connected Device 2 ,RoofZone_ActuatorNode_actuator_Connected Device 3 ,RoofZone_WindNode_WindSensor_Wind Speed ,RoofZone_BuzzerNode_actuator_Switch 0 Status ,RoofZone_SmartRopeNode2_SmartRope_Is Attached
2024-11-27T10:05:11.087198500 ,RoofZone_ControlNode ,Started                                                                                                                                                                   ,Uninitialized                                      ,Uninitialized                                      ,Uninitialized                                     ,Uninitialized                                     ,Uninitialized                           ,Uninitialized                                 ,Uninitialized                                 ,Uninitialized                                  ,Uninitialized                                  ,Uninitialized                ,Uninitialized                                      ,Uninitialized                                      ,Uninitialized                                      ,Uninitialized                                  ,Uninitialized                                  ,Uninitialized                               ,Uninitialized                              ,Uninitialized                                   ,Uninitialized                                     ,Uninitialized                                     ,Uninitialized                           ,Uninitialized                                ,Uninitialized
2024-11-27T10:05:11.159483    ,RoofZone_ControlNode ,Received (1) new packets from slave node [RoofZone_SmartRopeNode1] created @ [2024-11-27T10:05:10.771156300]                                                              ,Uninitialized                                      ,Uninitialized                                      ,Uninitialized                                     ,Uninitialized                                     ,Uninitialized                           ,Uninitialized                                 ,Uninitialized                                 ,Uninitialized                                  ,Uninitialized                                  ,Uninitialized                ,Uninitialized                                      ,Uninitialized                                      ,Uninitialized                                      ,Uninitialized                                  ,Uninitialized                                  ,Uninitialized                               ,Uninitialized                              ,Uninitialized                                   ,Uninitialized                                     ,Uninitialized                                     ,Uninitialized                           ,Uninitialized                                ,Uninitialized
2024-11-27T10:05:11.160489700 ,RoofZone_ControlNode ,Received (1) new packets from slave node [RoofZone_UltrasonicNode5] created @ [2024-11-27T10:05:10.771156300]                                                             ,Uninitialized                                      ,Uninitialized                                      ,Uninitialized                                     ,Uninitialized                                     ,Uninitialized                           ,Uninitialized                                 ,Uninitialized                                 ,Uninitialized                                  ,Uninitialized                                  ,Bruno                        ,Uninitialized                                      ,Uninitialized                                      ,Uninitialized                                      ,Uninitialized                                  ,Uninitialized                                  ,Uninitialized                               ,Uninitialized                              ,Uninitialized                                   ,Uninitialized                                     ,Uninitialized                                     ,Uninitialized                           ,Uninitialized                                ,Uninitialized
2024-11-27T10:05:11.160489700 ,RoofZone_ControlNode ,Gate [RoofZone_GateNode] queried permission status for ID [Bruno]                                                                                                         ,Uninitialized                                      ,Uninitialized                                      ,Uninitialized                                     ,Uninitialized                                     ,Uninitialized                           ,Uninitialized                                 ,Uninitialized                                 ,Uninitialized                                  ,Uninitialized                                  ,Bruno                        ,Uninitialized                                      ,Uninitialized                                      ,Uninitialized                                      ,Uninitialized                                  ,Uninitialized                                  ,Uninitialized                               ,Uninitialized                              ,Uninitialized                                   ,Uninitialized                                     ,Uninitialized                                     ,Uninitialized                           ,Uninitialized                                ,Uninitialized
2024-11-27T10:05:11.160489700 ,RoofZone_ControlNode ,Received (1) new packets from slave node [RoofZone_UltrasonicNode3] created @ [2024-11-27T10:05:10.771156300]                                                             ,Uninitialized                                      ,Uninitialized                                      ,Uninitialized                                     ,Uninitialized                                     ,Uninitialized                           ,Uninitialized                                 ,Uninitialized                                 ,Uninitialized                                  ,Uninitialized                                  ,Uninitialized                ,Uninitialized                                      ,Uninitialized                                      ,Uninitialized                                      ,Uninitialized                                  ,Uninitialized                                  ,Uninitialized                               ,Uninitialized                              ,Uninitialized                                   ,Uninitialized                                     ,Uninitialized                                     ,Uninitialized                           ,Uninitialized                                ,Uninitialized
2024-11-27T10:05:11.160489700 ,RoofZone_ControlNode ,Received (1) new packets from slave node [RoofZone_SmartRopeNode3] created @ [2024-11-27T10:05:10.771156300]                                                              ,Uninitialized                                      ,Uninitialized                                      ,Uninitialized                                     ,Uninitialized                                     ,Uninitialized                           ,Uninitialized                                 ,Uninitialized                                 ,Uninitialized                                  ,Uninitialized                                  ,Uninitialized                ,Uninitialized                                      ,Uninitialized                                      ,Uninitialized                                      ,Uninitialized                                  ,Uninitialized                                  ,Uninitialized                               ,Uninitialized                              ,Uninitialized                                   ,Uninitialized                                     ,Uninitialized                                     ,Uninitialized                           ,Uninitialized                                ,Uninitialized
2024-11-27T10:05:11.160489700 ,RoofZone_ControlNode ,Received (1) new packets from slave node [RoofZone_WindNode] created @ [2024-11-27T10:05:10.771156300]                                                                    ,Uninitialized                                      ,Uninitialized                                      ,Uninitialized                                     ,Uninitialized                                     ,Uninitialized                           ,Uninitialized                                 ,Uninitialized                                 ,Uninitialized                                  ,Uninitialized                                  ,Uninitialized                ,Uninitialized                                      ,Uninitialized                                      ,Uninitialized                                      ,Uninitialized                                  ,Uninitialized                                  ,Uninitialized                               ,Uninitialized                              ,Uninitialized                                   ,Uninitialized                                     ,Uninitialized                                     ,Uninitialized                           ,Uninitialized                                ,Uninitialized
2024-11-27T10:05:11.160489700 ,RoofZone_ControlNode ,Received (1) new packets from slave node [RoofZone_UltrasonicNode4] created @ [2024-11-27T10:05:10.771156300]                                                             ,Uninitialized                                      ,Uninitialized                                      ,Uninitialized                                     ,Uninitialized                                     ,Uninitialized                           ,Uninitialized                                 ,Uninitialized                                 ,Uninitialized                                  ,Uninitialized                                  ,Uninitialized                ,Uninitialized                                      ,Uninitialized                                      ,Uninitialized                                      ,Uninitialized                                  ,Uninitialized                                  ,Uninitialized                               ,Uninitialized                              ,Uninitialized                                   ,Uninitialized                                     ,Uninitialized                                     ,Uninitialized                           ,Uninitialized                                ,Uninitialized
2024-11-27T10:05:11.159483    ,RoofZone_ControlNode ,Received (1) new packets from slave node [RoofZone_UltrasonicNode2] created @ [2024-11-27T10:05:10.771156300]                                                             ,Uninitialized                                      ,Uninitialized                                      ,Uninitialized                                     ,Uninitialized                                     ,Uninitialized                           ,Uninitialized                                 ,Uninitialized                                 ,Uninitialized                                  ,Uninitialized                                  ,Uninitialized                ,Uninitialized                                      ,Uninitialized                                      ,Uninitialized                                      ,Uninitialized                                  ,Uninitialized                                  ,Uninitialized                               ,Uninitialized                              ,Uninitialized                                   ,Uninitialized                                     ,Uninitialized                                     ,Uninitialized                           ,Uninitialized                                ,Uninitialized
2024-11-27T10:05:11.159483    ,RoofZone_ControlNode ,Received (1) new packets from slave node [RoofZone_SmartRopeNode2] created @ [2024-11-27T10:05:10.771156300]                                                              ,Uninitialized                                      ,Uninitialized                                      ,Uninitialized                                     ,Uninitialized                                     ,Uninitialized                           ,Uninitialized                                 ,Uninitialized                                 ,Uninitialized                                  ,Uninitialized                                  ,Uninitialized                ,Uninitialized                                      ,Uninitialized                                      ,Uninitialized                                      ,Uninitialized                                  ,Uninitialized                                  ,Uninitialized                               ,Uninitialized                              ,Uninitialized                                   ,Uninitialized                                     ,Uninitialized                                     ,Uninitialized                           ,Uninitialized                                ,Uninitialized
